step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,119,2190.0,7.423728813559322,4.759297243729848,8,63.0,0.3865194472423356,3,62.0,0.31984675698166354,6,27.0,0.08529840312989885,8,113.0,0.06460471273781801,0,4.0,0.8706601240830748,24,613.0,0.06150592944691064,3,335.0,0.24982782681001056,0,6.0,0.781476637472639,11,218.0,0.2691325486735059,0,0.0,0.7873034859247594,3,85.0,0.44566461661366147,27,1238.0,0.09442690446923795,2,8.0,0.6235971328120512,7,109.0,0.4938410003204028,7,610.0,0.16281136544011662,10,129.0,0.3344116486252033,119,3620.0
160.0,153,2861.0,9.442244224422442,4.698166212365941,10,111.0,0.3754713346724291,3,17.0,0.46591515326402305,11,76.0,0.003520524130272642,10,160.0,0.20912142405993184,1,5.0,0.7767192615851494,29,747.0,0.08752637765618877,1,224.0,0.11560874265464449,0,4.0,0.7847290516229174,11,273.0,0.4293948134888164,2,5.0,0.542971778113672,7,100.0,0.41898364083947703,31,1389.0,0.02980841255369203,3,19.0,0.47084683002584704,7,140.0,0.33100536132793384,14,672.0,0.20197477461320085,13,188.0,0.2729754946678262,153,4130.0
165.0,162,3447.0,11.22801302931596,4.105871727697665,13,172.0,0.26930918176759644,3,20.0,0.3278207485804115,6,97.0,0.05358452950060717,10,210.0,0.31481680919027905,3,12.0,0.6441670965502804,29,892.0,0.1558093753812142,5,239.0,0.0664493740409156,0,4.0,0.4700038891547079,11,328.0,0.34722000996115043,0,4.0,0.6426033846123481,11,146.0,0.35540542728217955,31,1548.0,0.023168262963937026,5,42.0,0.2504305098115589,2,120.0,0.16105472725609027,20,761.0,0.21967503139168384,13,253.0,0.18118308785173193,162,4848.0
170.0,150,3249.0,10.281645569620252,4.684724406479364,9,177.0,0.31503167560482226,5,43.0,0.40250755208299355,0,64.0,0.4006978159303505,4,190.0,0.2626790694495898,4,31.0,0.6030972792779906,29,1037.0,0.13053601804040643,0,137.0,0.6285465878874256,6,31.0,0.07710295672441346,15,397.0,0.1771399075635815,0,0.0,0.927291989733047,15,215.0,0.2497618906092796,25,1475.0,0.14856716182532576,1,35.0,0.4249106956729099,2,19.0,0.6217219613811804,28,881.0,0.18437244083900806,7,238.0,0.19674187826331654,150,4970.0
175.0,124,2812.0,8.679012345679013,5.838928090165397,2,115.0,0.4396440676198865,1,35.0,0.6098975454439286,0,8.0,0.8637921771874316,3,95.0,0.25807047471708194,7,60.0,0.4926009122423557,29,1182.0,0.03289190236169629,0,4.0,0.8632313491522943,2,40.0,0.4168471167833429,18,488.0,0.19348470263177417,0,0.0,0.7897287938121812,11,221.0,0.2246161647454626,15,1212.0,0.2720332818472271,0,7.0,0.8241988034357112,1,13.0,0.7474733976210962,33,1033.0,0.1065068548097001,2,127.0,0.24587492664338337,124,4640.0
180.0,107,2558.0,8.12063492063492,5.558070524581953,4,117.0,0.3566560327773082,2,17.0,0.6690832309409446,0,8.0,0.8932497310290837,1,73.0,0.49431219148248784,2,54.0,0.44439620770753063,29,1333.0,0.044730914591898374,0,0.0,0.7947481330779158,0,17.0,0.6289541210297486,18,578.0,0.2854379900130708,2,5.0,0.5634475016314958,5,177.0,0.18976960881637991,9,1093.0,0.21569644374728753,0,2.0,0.902515169712411,1,14.0,0.6043053104744265,30,1037.0,0.04190984856309025,4,137.0,0.22661857315213496,107,4662.0
185.0,129,2686.0,8.581469648562301,5.043401053185601,9,151.0,0.2963720025179852,5,33.0,0.47146768740050005,2,7.0,0.5628587725639662,3,79.0,0.7648824752232503,4,25.0,0.40188685681430786,30,1481.0,0.11903147326891637,0,0.0,0.8238086314214014,3,23.0,0.403479529106068,21,673.0,0.23617207620526623,0,2.0,0.6569781856354299,6,193.0,0.3608148881347941,11,1143.0,0.11740836022210496,1,3.0,0.5572324138148687,1,23.0,0.31548716966568985,26,904.0,0.0921823267845782,7,167.0,0.5725505496949432,129,4907.0
190.0,149,3098.0,9.834920634920636,4.2700671104073935,16,215.0,0.2854515765259965,1,24.0,0.3982941299711985,1,5.0,0.239389671009637,3,90.0,0.7162101683573284,10,58.0,0.2482554568542167,34,1641.0,0.09580646634581828,3,8.0,0.09403354153922629,7,55.0,0.5330241386498954,24,786.0,0.16531805237406447,0,0.0,0.94029001989384,12,233.0,0.3380687917944121,13,1201.0,0.12234747298231309,1,8.0,0.3560501284872314,1,30.0,0.7445938807955291,16,866.0,0.1938181259361104,7,202.0,0.4846239280786386,149,5422.0
195.0,168,3674.0,11.553459119496855,4.122561955120042,18,297.0,0.22148857954079024,1,7.0,0.5600121205858212,1,5.0,0.2960871682852443,3,105.0,0.36269314212138587,7,85.0,0.3767362082922878,36,1816.0,0.11070594343641085,4,30.0,0.5159057435026122,7,86.0,0.5037384796746337,28,920.0,0.12031673427454509,1,2.0,0.6737995247970099,17,303.0,0.2593190024288799,19,1286.0,0.16518937152195104,1,6.0,0.5204143750840233,1,37.0,0.8087306525380515,13,922.0,0.2551561680218783,11,244.0,0.09740010493763931,168,6151.0
200.0,175,4250.0,12.957317073170731,4.354737951852194,19,388.0,0.2016561517668407,3,9.0,0.41206343741832835,1,12.0,0.36966430452951277,7,134.0,0.3169160069187577,8,80.0,0.43986957902163254,36,1996.0,0.11203628352212164,0,21.0,0.7459703844916376,2,72.0,0.44401658004412264,28,1060.0,0.09253718296339868,2,10.0,0.5323419187157883,20,401.0,0.18943601382027792,26,1405.0,0.1632914309506448,0,1.0,0.6222132036279145,1,38.0,0.7702292060331488,7,837.0,0.27960854406038,15,313.0,0.05457821824720649,175,6777.0
205.0,174,4326.0,12.686217008797653,4.289689911381793,15,395.0,0.24166354671991871,5,33.0,0.3717405914375785,1,4.0,0.7546903623152682,8,176.0,0.409517416479607,10,120.0,0.25882830825029446,30,1952.0,0.06347688024160418,0,2.0,0.6874592647672895,4,28.0,0.2408762001520492,28,1202.0,0.12375706315083695,0,3.0,0.6781147925602065,22,506.0,0.17081807790097275,28,1540.0,0.060066225264258005,1,6.0,0.7903993923450914,2,49.0,0.27352009400762933,5,611.0,0.2509004563139053,15,388.0,0.3580300013124468,174,7015.0
210.0,159,3809.0,11.137426900584796,4.1005421095783445,9,276.0,0.2720918713433386,1,32.0,0.6031841519495029,1,7.0,0.750577778992974,3,106.0,0.38039624777967873,12,178.0,0.16825663483742276,23,1709.0,0.06942514158667452,0,4.0,0.7989470540711661,7,45.0,0.17779625069000027,29,1347.0,0.09161462370804355,0,0.0,0.9239921618041897,17,514.0,0.12973033257898767,28,1688.0,0.05769175694244822,1,1.0,0.5237084980698345,7,74.0,0.3568361541216233,5,629.0,0.17712546976078408,16,464.0,0.2800042985365246,159,7074.0
215.0,145,3428.0,9.994169096209912,4.046356580579176,4,290.0,0.3384905433222362,0,6.0,0.7751539222078596,0,6.0,0.48701003449735303,4,36.0,0.2986276099720678,13,241.0,0.3248333595474627,15,1791.0,0.10162060534957537,1,7.0,0.6275828618107921,3,54.0,0.1498813332136896,29,1492.0,0.11380677877134995,0,0.0,0.727427003706173,11,423.0,0.17422443628876894,29,1829.0,0.17791429505016682,4,17.0,0.24883505885322293,8,114.0,0.45930141259088886,8,653.0,0.14754498393506377,16,440.0,0.13807447915314092,145,7399.0
220.0,149,3266.0,9.412103746397694,4.344175471158883,8,316.0,0.3297662822008891,2,10.0,0.5333360427263643,0,4.0,0.8574795600901065,2,24.0,0.11893424544806237,15,313.0,0.38388997778866635,14,1855.0,0.09063306032721555,3,17.0,0.6452314175767254,0,22.0,0.5626293862865314,29,1637.0,0.11668153515915936,2,8.0,0.6188309623874596,6,425.0,0.31999756689668135,32,1982.0,0.208290014521157,7,46.0,0.2677737831657835,4,81.0,0.23839079704221394,14,715.0,0.1221674789830083,11,279.0,0.10207363702086497,149,7734.0
225.0,142,3071.0,8.749287749287749,4.398586361662872,13,373.0,0.17045353078613473,1,9.0,0.42046097367354757,0,8.0,0.7843054214377003,2,25.0,0.0,17,393.0,0.30511980405298683,16,1927.0,0.09848209574636327,1,11.0,0.5816158199881987,0,4.0,0.9311722171120527,23,1577.0,0.12758406442795328,0,3.0,0.6470635408007155,6,447.0,0.3249631659768703,35,2151.0,0.14888829350296384,1,44.0,0.356105592610711,6,53.0,0.1902154292999173,20,804.0,0.114298504261185,1,240.0,0.3554732065501511,142,8069.0
